t=2025-12-17T22:00:24+0530 lvl=info msg="no configuration paths supplied"
t=2025-12-17T22:00:24+0530 lvl=info msg="using configuration at default config path" path="/Users/viswanathreddy/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-17T22:00:24+0530 lvl=info msg="open config file" path="/Users/viswanathreddy/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-17T22:07:36+0530 lvl=info msg="join connections" obj=join id=9b8350094bd9 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:36+0530 lvl=info msg="join connections" obj=join id=a4efdffe12e4 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:36+0530 lvl=info msg="join connections" obj=join id=c1016a1f68ba l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:36+0530 lvl=info msg="join connections" obj=join id=2f0d21b900f3 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:38+0530 lvl=info msg="join connections" obj=join id=f693811bb619 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62502
t=2025-12-17T22:07:53+0530 lvl=info msg="join connections" obj=join id=f2f7711ad082 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:53+0530 lvl=info msg="join connections" obj=join id=eb84be008dd7 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:53+0530 lvl=info msg="join connections" obj=join id=e8aa7bb97618 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:53+0530 lvl=info msg="join connections" obj=join id=aea0642313a4 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:53+0530 lvl=info msg="join connections" obj=join id=b38ee28e6876 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:53+0530 lvl=info msg="join connections" obj=join id=15675cee8aa3 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:53+0530 lvl=info msg="join connections" obj=join id=7c6a3dbadc87 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:53+0530 lvl=info msg="join connections" obj=join id=f328cb5c6f60 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:53+0530 lvl=info msg="join connections" obj=join id=8838e9eecadd l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:53+0530 lvl=info msg="join connections" obj=join id=9044e2654f96 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:53+0530 lvl=info msg="join connections" obj=join id=7f31533475c7 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:53+0530 lvl=info msg="join connections" obj=join id=b9466b6ac560 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
t=2025-12-17T22:07:53+0530 lvl=info msg="join connections" obj=join id=cefd55fa51f3 l=[::1]:3000 r=[2401:4900:329b:a39e:85bc:1cba:4311:8f1f]:62501
